,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
669,669,Wolves,Everton,2,1,2021-11-01 22:00:00,Martin Atkinson,10,7,6,6,Premier League Round 10 2021/2022,1,78,77,81,78,79,79,78,79,1,2021,11,1,10
670,670,Arsenal,Aston Villa,3,1,2021-10-22 22:00:00,Craig Pawson,11,6,6,6,Premier League Round 9 2021/2022,2,83,77,81,79,78,77,76,78,1,2021,10,22,9
671,671,Chelsea,Norwich,7,0,2021-10-23 14:30:00,Andrew Madley,9,2,6,6,Premier League Round 9 2021/2022,7,84,81,86,83,76,74,74,74,1,2021,10,23,9
672,672,Crystal Palace,Newcastle,1,1,2021-10-23 17:00:00,Darren England,6,2,6,6,Premier League Round 9 2021/2022,0,77,74,76,76,79,74,75,76,0,2021,10,23,9
673,673,Everton,Watford,2,5,2021-10-23 17:00:00,Graham Scott,7,4,6,6,Premier League Round 9 2021/2022,-3,79,79,78,79,74,73,75,75,-1,2021,10,23,9
674,674,Leeds,Wolves,1,1,2021-10-23 17:00:00,Robert Jones,7,9,6,6,Premier League Round 9 2021/2022,0,78,76,78,77,78,77,81,78,0,2021,10,23,9
675,675,Southampton,Burnley,2,2,2021-10-23 17:00:00,Chris Kavanagh,7,5,6,6,Premier League Round 9 2021/2022,0,76,73,77,76,76,77,76,76,0,2021,10,23,9
676,676,Brighton,Man City,1,4,2021-10-23 19:30:00,Kevin Friend,9,10,6,6,Premier League Round 9 2021/2022,-3,75,75,77,76,84,86,87,85,-1,2021,10,23,9
677,677,Brentford,Leicester,1,2,2021-10-24 16:00:00,Simon Hooper,10,8,6,6,Premier League Round 9 2021/2022,-1,73,73,74,73,82,79,81,80,-1,2021,10,24,9
678,678,West Ham,Tottenham,1,0,2021-10-24 16:00:00,Paul Tierney,12,9,7,6,Premier League Round 9 2021/2022,1,79,79,79,79,86,80,80,82,1,2021,10,24,9
679,679,Man United,Liverpool,0,5,2021-10-24 18:30:00,Anthony Taylor,7,11,6,6,Premier League Round 9 2021/2022,-5,85,83,84,84,86,85,83,84,-1,2021,10,24,9
680,680,Watford,Liverpool,0,5,2021-10-16 14:30:00,Jonathan Moss,4,11,6,6,Premier League Round 8 2021/2022,-5,74,73,75,75,86,85,83,84,-1,2021,10,16,8
681,681,Aston Villa,Wolves,2,3,2021-10-16 17:00:00,Michael Oliver,6,9,6,6,Premier League Round 8 2021/2022,-1,78,77,76,78,78,77,81,78,-1,2021,10,16,8
